id,city,state,state_2,zip,created_at,updated_at,lat,long,tz_offset,dst
32344,Papaaloa,Hawaii,HI,96780,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,19.946758,-155.20860,-10:00,f
32362,Honolulu,Hawaii,HI,96817,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,21.330700,-157.85913,-10:00,f
33666,Pago Pago,American Samoa,AS,96799,2014-06-09 16:26:13.457826,2014-06-09 16:26:13.457826, -14.3333,-170.0000,-11:00,f
192,Westover Air FB,Massachusetts,MA,01022,2014-06-05 12:13:03.096882,2014-06-13 22:25:41.303484,42.196666,-72.55606,-05:00,t
33667,Hagatna,Guam,GU,96910,2014-06-09 16:35:06.357784,2014-06-09 16:35:06.357784,13.4741700,144.7477800,+10:00,f
33668,Dededo,Guam,GU,96912,2014-06-09 16:41:33.483601,2014-06-09 16:41:33.483601,13.517800,144.83900,+10:00,f
33669,Barrigada,Guam,GU,96913,2014-06-09 16:45:32.01577,2014-06-09 16:45:32.01577,13.4691,144.79900,+10:00,f
33670,Mangilao,Guam,GU,96913,2014-06-09 16:46:14.172193,2014-06-09 16:46:14.172193,13.44689,144.80144,+10:00,f
33671,Tamuning,Guam,GU,96913,2014-06-09 16:46:44.700488,2014-06-09 16:46:44.700488,13.476327,144.751334,+10:00,f
2782,Manhassett,New York,NY,11030,2014-06-05 12:13:03.096882,2014-06-13 22:51:49.965414,40.796752,-73.68935,-05:00,t
33673,Inarajan,Guam,GU,96915,2014-06-09 16:51:43.966753,2014-06-09 16:51:43.966753,13.2736,144.74800,+10:00,f
33677,Umatac,Guam,GU,96915,2014-06-09 17:03:59.661814,2014-06-09 17:03:59.661814,13.29851,144.6633,+10:00,f
33676,Talofofo,Guam,GU,96915,2014-06-09 17:03:39.924731,2014-06-09 17:03:39.924731,13.35513,144.75835,+10:00,f
33674,Merizo,Guam,GU,96915,2014-06-09 16:57:16.223263,2014-06-09 16:57:16.223263,13.26584,144.6745,+10:00,f
33678,Yona,Guam,GU,96915,2014-06-09 17:06:13.824101,2014-06-09 17:06:13.824101,13.40974,144.77697,+10:00,f
183,Cushman,Massachusetts,MA,01002,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.377651,-72.50323,-05:00,t
184,Barre,Massachusetts,MA,01005,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.412094,-72.10443,-05:00,t
186,Blandford,Massachusetts,MA,01008,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.174313,-72.94828,-05:00,t
187,Brimfield,Massachusetts,MA,01010,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.126038,-72.20552,-05:00,t
188,Chester,Massachusetts,MA,01011,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.271442,-73.01958,-05:00,t
190,Chicopee,Massachusetts,MA,01013,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.161492,-72.60316,-05:00,t
191,Chicopee,Massachusetts,MA,01020,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.175992,-72.57265,-05:00,t
194,Mount Tom,Massachusetts,MA,01027,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.272790,-72.68677,-05:00,t
195,East Longmeadow,Massachusetts,MA,01028,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.066795,-72.51020,-05:00,t
196,East Otis,Massachusetts,MA,01029,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.175896,-73.04204,-05:00,t
30309,Yeso,New Mexico,NM,88136,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,34.321787,-104.73050,-07:00,t
200,Granby,Massachusetts,MA,01033,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.254563,-72.51831,-05:00,t
201,Tolland,Massachusetts,MA,01034,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.086224,-72.94464,-05:00,t
204,Hardwick,Massachusetts,MA,01037,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.374202,-72.19524,-05:00,t
205,Hatfield,Massachusetts,MA,01038,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.375155,-72.60832,-05:00,t
206,Haydenville,Massachusetts,MA,01039,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.381475,-72.69259,-05:00,t
208,Huntington,Massachusetts,MA,01050,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.290209,-72.87942,-05:00,t
209,Leeds,Massachusetts,MA,01053,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.353105,-72.70206,-05:00,t
210,Leverett,Massachusetts,MA,01054,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.479839,-72.49879,-05:00,t
116,Saint Croix,Virgin Islands,VI,00851,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,17.727328,-64.786197,-04:00,f
125,San Juan,Puerto Rico,PR,00913,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,18.450907,-66.04256,-04:00,f
130,San Juan,Puerto Rico,PR,00918,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,18.417668,-66.06494,-04:00,f
126,San Juan,Puerto Rico,PR,00914,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,18.449899,-66.049579,-04:00,f
133,San Juan,Puerto Rico,PR,00921,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,18.394019,-66.08633,-04:00,f
131,San Juan,Puerto Rico,PR,00919,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,18.408511,-66.037667,-04:00,f
134,San Juan,Puerto Rico,PR,00923,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,18.410681,-66.03806,-04:00,f
33679,Merizo,Guam,GU,96916,2014-06-09 17:08:11.5424,2014-06-09 17:08:11.5424,13.26584,144.66908,+10:00,f
33680,Inarajan,Guam,GU,96917,2014-06-09 17:09:51.763404,2014-06-09 17:09:51.763404,13.27363,144.74845,+10:00,f
